A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50	A51	A52	A53	A54	A55	A56
101	101	121	123	130	135	95	118	112	121	115	110	148	152	155	166	155	144	143	128	166	173	149	179	194	206	175	213	225	234	208	198	140	124	146	160	196	191	200	210	218	177	147	168	166	185	149	99	99	148	100	96	200	186	195	201
175	210	212	139	128	133	161	82	133	96	99	107	106	101	103	80	87	84	90	70	68	78	117	107	107	120	134	182	182	163	122	234	182	190	237	233	234	196	199	199	228	215	159	187	182	168	126	198	184	170	145	130	169	150	168	188
B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56
139	156	170	133	133	140	128	100	123	110	106	107	132	131	138	131	126	119	121	100	126	136	139	154	164	179	166	215	223	219	181	178	168	161	196	207	216	206	215	224	242	208	159	187	184	187	144	152	142	168	122	110	198	180	198	210
310	333	326	276	265	267	304	240	277	250	252	260	242	235	236	214	227	230	234	227	205	208	249	226	216	221	246	257	252	235	221	235	296	306	330	317	302	281	276	272	282	296	276	287	281	260	254	329	318	282	290	279	253	248	257	269
